数据长度/字节		误码率/比特级		窗口大小
1000		0.00025		510
1500		0.00016666666666666666		340
2000		0.001125		254
2500		0.0013		203
3000		0.0020833333333333333		169
3500		0.002785714285714286		145
4000		0.0026875		126
4500		0.004		112
5000		0.00545		101
5500		0.005045454545454546		92
6000		0.005916666666666666		84
6500		0.0065		77
7000		0.007821428571428571		72
7500		0.007866666666666666		67
8000		0.2358125		62
8500		0.23705882352941177		59
9000		0.18544444444444444		55
9500		0.20189473684210527		52
10000		0.011125		50
10500		0.010833333333333334		47
11000		0.17622727272727273		45
11500		0.24993478260869564		43
12000		0.19525		41
12500		0.2003		39
13000		0.17736538461538462		38
13500		0.22655555555555557		36
14000		0.015392857142857142		35
14500		0.01453448275862069		34
15000		0.21048333333333333		33
15500		0.22012903225806452		32
16000		0.22875		30
16500		0.22268181818181818		30
17000		0.25573529411764706		29
17500		0.19947142857142858		28
18000		0.2611805555555556		27
18500		0.2628648648648649		26
19000		0.2675526315789474		25
19500		0.25971794871794873		25
20000		0.2622		24
20500		0.2701707317073171		23
21000		0.2660595238095238		23
21500		0.2673139534883721		22
22000		0.2604431818181818		22
22500		0.2675777777777778		21
23000		0.26318478260869566		21
23500		0.2684255319148936		20
24000		0.2644270833333333		20
24500		0.2755612244897959		19
25000		0.26818		19
25500		0.26435294117647057		19
26000		0.27353846153846156		18
26500		0.2678018867924528		18
27000		0.27785185185185185		17
27500		0.27286363636363636		17
28000		0.2701875		17
28500		0.2800175438596491		16
29000		0.2765344827586207		16
29500		0.27049152542372884		16
30000		0.26613333333333333		16
30500		0.2795081967213115		15
31000		0.275508064516129		15
31500		0.27056349206349206		15
32000		0.285078125		14
32500		0.2805692307692308		14
33000		0.27637121212121213		14
33500		0.2732089552238806		14
34000		0.26749264705882353		14
34500		0.28480434782608693		13
35000		0.28172857142857144		13
35500		0.27624647887323944		13
36000		0.2712986111111111		13
36500		0.27002739726027397		13
37000		0.28707432432432434		12
37500		0.2828		12
38000		0.27932894736842107		12
38500		0.27584415584415584		12
39000		0.27255769230769233		12
39500		0.2945253164556962		11
40000		0.29026875		11
40500		0.2855061728395062		11
41000		0.28254878048780485		11
41500		0.278078313253012		11
42000		0.27525		11
42500		0.27151764705882353		11
43000		0.29801744186046514		10
43500		0.29289080459770117		10
44000		0.2891306818181818		10
44500		0.2860561797752809		10
45000		0.2833		10
45500		0.2802912087912088		10
46000		0.27753260869565216		10
46500		0.27390860215053764		10
47000		0.3019627659574468		9
47500		0.29757894736842105		9
48000		0.2941197916666667		9
48500		0.29120618556701033		9
49000		0.288765306122449		9
49500		0.2860050505050505		9
50000		0.28331		9
50500		0.2816287128712871		9
51000		0.27712254901960787		9
51500		0.30793203883495146		8
52000		0.30601442307692306		8
52500		0.30314285714285716		8
53000		0.3001179245283019		8
53500		0.29692056074766354		8
54000		0.2948935185185185		8
54500		0.2930596330275229		8
55000		0.2901409090909091		8
55500		0.2868198198198198		8
56000		0.28591964285714283		8
56500		0.2823716814159292		8
57000		0.31983333333333336		7
57500		0.31629565217391303		7
58000		0.31486637931034483		7
58500		0.3107094017094017		7
59000		0.30915254237288137		7
59500		0.30623109243697477		7
60000		0.30370416666666666		7
60500		0.30105785123966944		7
61000		0.2986229508196721		7
61500		0.2964430894308943		7
62000		0.29418951612903227		7
62500		0.290776		7
63000		0.2891111111111111		7
63500		0.2863503937007874		7
64000		0.33185546875		6
64500		0.33047286821705424		6
65000		0.32682307692307694		6
65500		0.32476335877862594		6
66000		0.3220454545454545		6
66500		0.3188533834586466		6
67000		0.3173134328358209		6
67500		0.3147074074074074		6
68000		0.3125073529411765		6
68500		0.3102153284671533		6
69000		0.3090072463768116		6
69500		0.30585971223021585		6
70000		0.3038321428571429		6
70500		0.30206382978723406		6
71000		0.29855985915492955		6
71500		0.2960664335664336		6
72000		0.2959583333333333		6
72500		0.29220689655172416		6
73000		0.2908801369863014		6
73500		0.34672108843537414		5
74000		0.34445945945945944		5
74500		0.34012080536912753		5
75000		0.34052666666666664		5
75500		0.3386158940397351		5
76000		0.33435855263157893		5
76500		0.3331437908496732		5
77000		0.33062662337662335		5
77500		0.3292548387096774		5
78000		0.3267275641025641		5
78500		0.3259777070063694		5
79000		0.3226424050632911		5
79500		0.3215503144654088		5
80000		0.319096875		5
80500		0.31609316770186335		5
81000		0.3150401234567901		5
81500		0.31241411042944783		5
82000		0.3120884146341463		5
82500		0.3095909090909091		5
83000		0.3072138554216867		5
83500		0.30583532934131735		5
84000		0.3025833333333333		5
84500		0.301103550295858		5
85000		0.29861176470588235		5
85500		0.3732953216374269		4
86000		0.3705581395348837		4
86500		0.36884104046242777		4
87000		0.366551724137931		4
87500		0.3660342857142857		4
88000		0.3615284090909091		4
88500		0.36061581920903957		4
89000		0.35798876404494384		4
89500		0.356036312849162		4
90000		0.3557361111111111		4
90500		0.35161878453038675		4
91000		0.35187362637362635		4
91500		0.3494945355191257		4
92000		0.3470951086956522		4
92500		0.34566486486486486		4
93000		0.34314247311827956		4
93500		0.3410668449197861		4
94000		0.3400558510638298		4
94500		0.3371111111111111		4
95000		0.3355605263157895		4
95500		0.3348717277486911		4
96000		0.3323125		4
96500		0.3305103626943005		4
97000		0.3296340206185567		4
97500		0.32824102564102564		4
98000		0.3249107142857143		4
98500		0.32403045685279186		4
99000		0.3225328282828283		4
99500		0.32009798994974875		4
100000		0.3186975		4
100500		0.31771641791044775		4
101000		0.31525		4
101500		0.31448275862068964		4
102000		0.3125343137254902		4
